="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)"
="L21.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.741",="0.749",="0.846",="0.763",="0.480",="-0.019",="0.122",="0.184",="0.160",="-0.164",="-0.236"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.568)",="(0.578)",="(0.587)",="(0.618)",="(0.647)",="(0.657)",="(0.683)",="(0.709)",="(0.728)",="(0.800)",="(0.811)"
="L22.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.829",="-0.779",="-0.748",="-0.598",="-0.233",="-0.375",="0.167",="-0.012",="0.037",="-0.082"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.571)",="(0.585)",="(0.596)",="(0.625)",="(0.641)",="(0.673)",="(0.701)",="(0.738)",="(0.792)",="(0.826)"
="L23.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.765",="0.766",="0.771",="0.609",="0.311",="0.526",="-0.020",="-0.013",="-0.093"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.588)",="(0.628)",="(0.636)",="(0.652)",="(0.686)",="(0.712)",="(0.742)",="(0.786)",="(0.810)"
="L24.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.075",="0.079",="-0.296",="-0.167",="0.065",="-0.247",="-0.009",="0.142"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.605)",="(0.639)",="(0.638)",="(0.668)",="(0.694)",="(0.723)",="(0.762)",="(0.809)"
="L25.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.112",="0.027",="0.135",="0.215",="0.461",="0.597",="0.676"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.625)",="(0.646)",="(0.659)",="(0.682)",="(0.716)",="(0.748)",="(0.789)"
="L26.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.525",="-0.093",="-0.199",="-0.326",="-0.608",="-0.560"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.633)",="(0.669)",="(0.677)",="(0.705)",="(0.757)",="(0.789)"
="L27.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.021",="0.740",="0.944",="0.934",="0.615"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.690)",="(0.698)",="(0.712)",="(0.744)",="(0.808)"
